CAT: CAPITAL - COUNTRY
DIFF: EASY
BUENOS AIRES,ARGENTINA
PORTO NOVO,BENIN
LA PAZ,BOLIVIA
OUAGADOUGOU,BURKINA FASO
BUJUMBURA,BURUNDI
N'DJAMENA, CHAD
YAMOUSSOUKRO,IVORY COAST
DJIBOUTI,DJIBOUTI
MALABO,EQUATORIAL GUINEA
SUVA,FIJI
REYKJAVIK,ICELAND
KINGSTON,JAMAICA
TARAWA,KIRIBATI
PRISTINA,KOSOVO
BISHKEK,KYRGYSTAN
VADUZ,LIECHTENSTEIN
LILONGWE,MALAWI
MAJURO,MARSHALL ISLANDS
PALIKIR,MICRONESIA
MAPUTO,MOZAMBIQUE
MELEKEOK,PALAU
SKOPJE,MACEDONIA
APIA,SAMOA
LJUBLJANA,SLOVENIA
JUBA,SOUTH SUDAN
MBABANE,SWAZILAND
DUSHANBE,TAJIKISTAN
BANJUL,THE GAMBIA
NUKU'ALOFA,TONGA
FUNAFUTI,TUVALU
TASHKENT,UZBEKISTAN
PORT VILA,VANUATU
LUSAKA,ZAMBIA
CAT: PERIODIC TABLE
DIFF: EASY
HYDROGEN
HELIUM
LITHIUM
CARBON
NITROGEN
OXYGEN
SODIUM
MAGNESIUM
ALUMINUM
SILICON
SULFUR
CHLORINE
ARGON
POTASSIUM
CALCIUM
TITANIUM
IRON
COPPER
ZINC
ARSENIC
BROMINE
SILVER
TIN
IODINE
BARIUM
TUNGSTEN
PLATINUM
GOLD
MERCURY
LEAD
URANIUM
PLUTONIUM
DIFF: MEDIUM
BERYLLIUM
BORON
FLUORINE
NEON
PHOSPHORUS
SCANDIUM
VANADIUM
CHROMIUM
MANGANESE
COBALT
NICKEL
GALLIUM
GERMANIUM
SELENIUM
KRYPTON
RUBIDIUM
STRONTIUM
NIOBIUM
MOLYBDENUM
TECHNETIUM
RUTHENIUM
RHODIUM
PALLADIUM
CADMIUM
INDIUM
TELLURIUM
CAESIUM
LANTHANUM
CERIUM
PRASEODYMIUM
NEODYMIUM
PROMETHIUM
SAMARIUM
EUROPIUM
GADOLINIUM
TERBIUM
HOLMIUM
ERBIUM
THULIUM
LUTETIUM
HAFNIUM
TANTALUM
RHENIUM
OSMIUM
IRIDIUM
THALLIUM
BISMUTH
POLONIUM
ASTANTINE
RADON
FRANCIUM
RADIUM
ACTINUM
THORIUM
PROTACTINUM
NEPTUNIUM
AMERICIUM
CURIUM
CALIFORNIUM
EINSTEINIUM
FERMIUM
NOBELIUM
RUTHERFORDIUM
BOHRIUM
DUBNIUM
SEABORGIUM
HASSIUM
MEITNERIUM
DARMSTATIUM
ROENTGENUM
COPERNICIUM
NIHONIUM
TENNESSINE
OGANESSON
DIFF: HARD
YTTRIUM
ZIRCONIUM
ANTIMONY
XENON
DYSPROSIUM
YTTERBIUM
BERKELIUM
MENDELEVIUM
LAWRENCIUM
FLEROVIUM
LIVERMORIUM
MOSCOVIUM
CAT: CONSTELLATIONS
DIFF: EASY
ANDROMEDA
AQUARIUS
ARIES
CANCER
CANIS MAJOR
CANIS MINOR
CAPRICORNUS
CENTAURUS
GEMINI
HERCULES
HYDRA
LEO
LEO MINOR
LIBRA
ORION
PEGASUS
PISCES
SAGITTARIUS
SCORPIUS
TAURUS
TRIANGULUM
TRIANGULUM AUSTRALE
URSA MAJOR
URSA MINOR
VIRGO
DIFF: MEDIUM
ANTLIA
AURIGA
BOOTES
CAELUM
CAMELOPARDALIS
CANES VENATICI
CARINA
CASSIOPEIA
CEPHEUS
CETUS
CHAMAELEON
CIRCINUS
COLUMBA
COMA BERENICES
CORONA AUSTRALIS
CORONA BOREALIS
CORVUS
CRATER
CYGNUS
DELPHINUS
DORADO
DRACO
ERIDANUS
HOROLOGIUM
HYDRUS
INDUS
LACETRA
LEPUS
LUPUS
MENSA
MICROSCOPIUM
MONOCEROS
MUSCA
NORMA
OCTANS
OPHIUCHUS
PERSEUS
PHOENIX
PICTOR
PISCIS AUSTRINUS
PUPPIS
RETICULUM
SAGITTA
SCULPTOR
SCUTUM
SERPENS
TELESCOPIUM
TUCANA
VOLANS
DIFF: HARD
APUS
ARA
CRUX
EQUULEUS
FORNAX
GRUS
LYNX
LYRA
PAVO
PYXIS
SEXTANS
VELA
VULPECULA
CAT: STAR NAMES
DIFF: EASY
ACHERNAR
ADHARA
ALDEBARAN
ALGOL
ALPHARD
ALTAIR
ANTARES
ARCTURUS
BETELGEUSE
CANOPUS
CAPELLA
CASTOR
DENEB
DENEBOLA
FOMALHAUT
GARNET STAR
POLARIS
POLARIS AUSTRALIS
POLLUX
PROCYON
RASTABAN
REGULUS
RIGEL
SIRIUS
SPICA
DIFF: MEDIUM
ACAMAR
ACHRID
GRAFFIAS
ACUBENS
ADHEFERA
AIN
ALADFAR
ALATHFAR
ALARAPH
ALBALI
ALBIREO
ALCHIBA
ALCOR
ALCYONE
ALDERAMIN
ALDHAFERA
ALDHANAB
ALDHIBAIN
ALDIB
ALFECCA MERIDIANA
ALGEDI
ALGENIB
ALGIEBA
ALGORAB
ALHENA
ALIOTH
ALMACH
AL MINLIAR AL ASAD
ALNAIR
ALNASL
ALNILAM
ALNIYAT
ALPECCA
ALRAI
ALRAMI
ALRISCHA
ALSAFI
ALSHAIN
ALSHAT
ALTAIS
ALTARF
ALTERF
AL THALIMAIN
ALUDRA
ALULA AUSTRALIS
ALULA BOREALIS
ANCHA
AGETENAR
ARICH
ARMUS
ARNEB
ASCELLA
ASELLUS AUSTRALIS
ASELLUS BOREALIS
ASELLUS PRIMUS
ASELLUS SECUNDUS
ASELLUS TERTIUS
ASTERION
ASTEROPE
ATLAS
ATRIA
BAHAM
BEID
BELLATRIX
BENETNASCH
BERTIA
BIHAM
BOTEIN
BRANCHIUM
BUNDA
CAPH
CEBELRAI
CELAENO
CHARA
CHELEB
CHERTAN
CHORT
COR CAROLI
CURSA
DABIH
DENEB ALGEDI
DENEB DULFIM
DHENEB
DIADEM
DIPHDA
DNOCES
DSCHUBBA
DUBHE
EDASICH
ELECTRA
ELMUTHALLETH
ELNATH
ERRAI
ETAMIN
FURUD
GATRIA
GEMMA
GIANFAR
GIEDI
GIENAH
GIRTAB
GOMESIA
GORGONEA TERTIA
GRUMIUM
HADAR
HAEDUS
HALDUS
HAMAL
HASSALEH
HOEDUS
HOMAM
KAUS AUSTRALIS
KAUS BORELIS
KAUS MEDIA
KORNEPHOROS
LA SUPERBA
LESATH
LUCIDA ANSERIS
MAASYM
MAHASIM
MAIA
MATAR
MEBSUTA
MEDIA
MEISSA
MENKALINAN
MENKENT
MERGA
MEROPE
MESARTHIM
MIAPLACIDUS
MINCHIR
MINELAVA
MIRA
MIRACH
MIRAM
MISAM
MOTHALLAH
MULIPEHIN
MUPHRID
MUSCIDA
NAIR AL SAIF
NAOS
NASH
NASHIRA
NEMBUS
NIHAL
PEACOCK
PHACT
PHECDA
PHERKAD
PHERKARD
PLEIONE
PORRIMA
PRAECIPUA
PROPUS
PULCHERRIMA
RANA
RAS ALGETHI
RASALHAGUE
RAS ELASED AUSTRALIS
RASALAS
RAS THAOUM
REGOR
RIGIL KENTAURUS
ROTANEV
RUCHBA
RUKBAT
SADACHBIA
SADALBARI
SADALMELIK
SADALSUUD
SADATONI
SADR
SAIPH
SALM
SARGAS
SARIN
SARIR
SCEPTRUM
SCHEAT
SCHEDDI
SCHEDAR
SEGINUS
SHAM
SHAULA
SHELIAK
SHERATAN
SINISTRA
SITULA
STEROPE
SUALOCIN
SUBRA
SUHALI
SULAFAT
TABIT
TALITHA AUSTRALIS
TALITHA BOREALIS
TANIA AUSTRALIS
TANIA BOREALIS
TARAZED
TAYGETA
TEGMEN
TEREBELLUM
THABIT
THUBAN
TUREIS
VEGA
VINDEMIATRIX
WASAT
YILDUN
ZANIAH
ZUBENELGENUBI
ZUBENESCHAMLI
DIFF: HARD
AKRAB
ACRUX
ALAMAK
AL FAWARIS
ALFIRK
ALHAJOTH
ALKAID
AL KURUD
AL KALB AL RAI
ALKALUROPS
AL KAPHRAH
ALKES
ALKURAH
ALNITAK
ALPHERATZ
ALSCIAUKAT
ALWAID
ALYA
ALZIR
ANKAA
ARKAB
ARRAKIS
ASKELLA
ASPIDISKE
ATIK
AUVA
AVOIR
AZALEH
AZELFAFAGE
AZHA
AZMIDISKE
BATEN KAITOS
BECRUX
CHOW
DECRUX
DENEB EL OKAB
DENEB KAITOS
DUHR
ENIF
FUM AL SAMAKAH
GACRUX
HEKA
HEZE
HYADUM
HYDROBIUS
JABBAH
KABDHILINAN
KAFFALJIDHMA
KAJAM
KASTRA
KEID
KITALPHA
KOCHAB
KRAZ
KULLAT NUNU
KUMA
MARFARK
MARFIK
MARKAB
MEGREZ
MEKBUDA
MENKAR
MENKIB
MERAK
MINKAR
MINTAKA
MIRFAK
MIRZAM
MIZAR
MIRZIM
NAVI
NEKKAR
NUNKI
NUSAKAN
OKUL
RIJI AL AWWA
SABIK
SKAT
SYRMA
TEJAT
TYL
UNUKALHAI
WAZN
WEZEN
YED
ZAURAK
ZAVIJAVA
ZOSMA
ZUBENELAKRAB
ZUBENELAKRIBI
CAT: FOOD ITEM/INGREDIENT
DIFF: EASY
RED BEANS
BLUEBERRIES
WHITE CHOCOLATE
BAKED POTATO
CANNED TUNA
FRENCH TOAST
MONOSODIUM GLUTAMATE
REFINED SUGAR
CORN FLOUR
ALMONDS
BAKED BEANS
BLUEFIN TUNA
CHINESE CABBAGE
CHOCOLATE CAKE
CARROT
CELERY
FRIED CHICKEN
NACHO CHIPS
COFFEE BEANS
CHOCOLAE CHIP COOKIES
CHILLI CRAB
INDIAN CURRY
SOUR CREAM
RED DATES
GLAZED DONUT
HARD BOILED EGG
GREEN BEANS
HAMBURGER
HASH BROWNS
HOT DOG
ICE CREAM
TOMATO KETCHUP
BEEF LASAGNE
VANILLA MILKSHAKE
SPINACH
SPAGHETTI
RED WINE
WHITE WINE
WALNUTS
CHEDDAR
DIFF: MEDIUM
BUTTERMILK
YOGHURT
VENISON
WAFFLES
MEATBALLS
SOYA MILK
BAGUETTE
IRISH STEW
HUMMUS
HALIBUT
HONEY
BREAKFAST HAM
EDAMAME
ENGLISH MUFFIN
LOVE LETTERS
ENCHILADA
PEKING DUCK
CHIMICHANGA
CORNFLAKES
BLUEBERRY CUPCAKE
SWEETCORN
CLAM CHOWDER
BURITTO
BABA GHANOUSH
BARLEY MALT
BROCCOLI
BACK BACON
BLACK BEANS
AVOCADO
GUACALMOLE
ASPARAGUS
COOKING APPLE
STUFFED TURKEY
ANGUS BEEF
MOZZARELLA
ARTICHOKE
APPLE JUICE
CARNE ASADA
FALAFEL
CHICKEN FRANKS
FONDUE
GARLIC
GINGER
GNOCCHI
GRANOLA
BEEF JERKY
JALAPENO
KEBABS
KIDNEY BEANS
LOBSTER
LAMB SHANK
LINGUINE
PEPPERONI
PANCAKES
QUESADILLA
ZUCCHINI
CONDENSED MILK
DIFF: HARD
ZITI
PIZZA
KIWI
KALE
JELL-O
JAMBALAYA
FAJITA
BISQUE
BAGEL
MAJORAM
THYME
QUICHE
ROQUETTE
CAT: COMMON PHRASES AND SLOGANS
DIFF: EASY
ON CLOUD NINE
ON THE SAME PAGE
NO-BRAINER
FOR THE WIN
ON THE WAY
BEAT AROUND THE BUSH
BETWEEN A ROCK AND A HARD PLACE
CURIOSITY KILLED THE CAT
DOWN TO THE WIRE
DRIVE ME NUTS
DROPPING LIKE FLIES
ELEPHANT IN THE ROOM
EASY AS PIE
EVERY CLOUD HAS A SILVER LINING
FIGHT FIRE WITH FIRE
FISH OUT OF WATER
GO OUT ON A LIMB
HARD PILL TO SWALLOW
LIKE FATHER LIKE SON
LEARNING THE ROPES
RAINING CATS AND DOGS
RIGHT OFF THE BAT
THERE IS NO I IN TEAM
DIFF: MEDIUM
WAKE UP CALL
WILD GOOSE CHASE
UNDER THE WEATHER
UP IN ARMS
THROW IN THE TOWEL
TUG OF WAR
SCOT-FREE
SWINGING FOR THE FENCES
READ 'EM AND WEEP
QUALITY TIME
QUICK ON THE DRAW
PLAYING FOR KEEPS
PLOT THICKENS
LET HER RIP
LOVE BIRDS
IN A PICKLE
IN THE RED
HEADS UP
HIGH AND DRY
HANDS DOWN
GREASED LIGHTNING
GOODY TWO-SHOES
FOOL'S GOLD
FLEA MARKET
EVERYTHING BUT THE KITCHEN SINK
EAT MY HAT
DOWN AND OUT
DOWN TO EARTH
CLOSE; BUT NO CIGAR
BREAK THE ICE
BEATING A DEAD HORSE
BARK UP THE WRONG TREE
PIECE OF CAKE
BACK TO SQUARE ONE
KICK THE BUKCET
JUMP THE GUN
CRYING OVER SPILT MILK
GO FOR BROKE
JACK OF ALL TRADES
KNOCK YOUR SOCKS OFF
KEEP YOUR EYES PEELED
MAN OF FEW WORDS
MOUNTAIN OUT OF A MOLEHILL
NEEDLE IN A HAYSTACK
NO QUESTIONS ASKED
KEEP ON TRUCKIN'
CETERIS PARIBUS
CARPE DIEM
PERSONA NON GRATA
DIFF: HARD
DEUS EX MACHINA
VENI VIDI VICI
QUOD ERAT DEMONSTRANDUM
REQUIESCAT IN PACE
JAWS OF DEATH
CRYING WOLF
QUID PRO QUO
SINE QUA NON
CAT: ANIMAL COLLECTIVES
DIFF: EASY
TROOP OF APES
HERD OF ANTELOPE
COLONY OF ANTS
CULTURE OF BACTERIA
SHOAL OF BASS
FAMILY OF BEAVERS
HERD OF BISON
BROOD OF CHICKENS
POD OF DOLPHINS
HERD OF DONKEYS
SCHOOL OF FISH
SWARM OF FLIES
GAGGLE OF GEESE
HERD OF GOATS
BAND OF GORILLAS
STABLE OF HORSES
HERD OF KANGEROOS
PRIDE OF LIONS
TROOP OF MONKEYS
HERD OF MOOSE
PACK OF MULES
FAMILY OF OTTERS
PACK OF RATS
FAMILY OF SARDINES
NEST OF SCORPIONS
CLUSTER OF SPIDERS
FLIGHT OF SWALLOWS
NEST OF TURTLES
POD OF WALRUSES
NEST OF WASPS
POD OF WHALES
DIFF: MEDIUM
ROOKERY OF ALBATROSS
CONGREGATION OF ALLIGATORS
FLANGE OF BABOONS
CETE OF BADGERS
BATTERY OF BARRACUDAS
CLOUD OF BATS
SLEUTH OF BEARS
GRIST OF BEES
SEIGE OF BITTERNS
SUTE OF BLOODHOUNDS
CHAIN OF BOBOLINKS
OBSTINANCY OF BUFFALO
BELLOWING OF BULLFINCHES
FLUTTER OF BUTTERFLIES
FLOCK OF CAMELS
HERD OF CARIBOU
ARMY OF CATERPILLARS
GLORYING OF CATS
TEAM OF CATTLE
COALITION OF CHEETAHS
COLONY OF CHINCHILLAS
BED OF CLAMS
INTRUSION OF COCKROACHES
LAP OF COD
GULP OF COMORANTS
KINE OF COWS
BAND OF COYOTES
CAST OF CRABS
SEDGE OF CRANES
MURDER OF CROWS
BASK OF CROCODILES
AERIE OF EAGLES
FRY OF EELS
MEMORY OF ELEPHANTS
GANG OF ELK
MOB OF EMUS
CAST OF FALCONS
BUSINESS OF FERRETS
CHARM OF FINCHES
FLAMBOYANCE OF FLAMINGOES
KNOT OF FROGS
TOWER OF GIRAFFES
GLINT OF GOLDFISH
CLOUD OF GRASSHOPPERS
SCREECH OF GULLS
BOIL OF HAWKS
ARRAY OF HEDGEHOGS
ARMY OF HERRING
BLOAT OF HIPPOPOTAMUSES
BIKE OF HORNETS
LEAP OF LEOPARDS
FLOCK OF LICE
LOUNGE OF LIZARDS
PLAGUE OF LOCUSTS
TIDING OF MAGPIES
BRACE OF MALLARDS
MISCHIEF OF MICE
STEAM OF MINNOWS
MOVEMENT OF MOLES
SCOURGE OF MOSQUITOES
WATCH OF NIGHTINGALES
PARLIAMENT OF OWLS
BED OF OYSTERS
PANDEMONIUM OF PARROTS
POD OF PELICANS
OSTENTATION OF PEACOCKS
HUDDLE OF PENGUINS
KIT OF PIGEONS
DRIFT OF PIGS
PRICKLE OF PORCUPINES
WARREN OF RABBITS
GAZE OF RACCOONS
RHUMBA OF RATTLESNAKES
BUILDING OF ROOKS
CONGRESS OF SALAMANDERS
RUN OF SALMON
HAREM OF SEALS
TRIP OF SHEEP
ESCARGATOIRE OF SNAILS
HOST OF SPARROWS
SCURRY OF SQUIRRELS
CHATTERING OF STARLINGS
FEVER OF STINGRAYS
MUSTER OF STORKS
MUTATION OF THRUSH
AMBUSH OF TIGERS
KNAB OF TOADS
HOVER OF TROUT
RAFTER OF TURKEYS
GENERATION OF VIPERS
WISDOM OF WOMBATS
DESCENT OF WOODPECKERS
BUNCH OF WORMS
DIFF: HARD
FLOCK OF AUKS
DROVE OF BULLOCKS
WAKE OF BUZZARDS
QUIVER OF COBRAS
SKULK OF FOXES
CACKLE OF HYENAS
EXALTATION OF SKYLARKS
NYE OF PHESANTS
BEVY OF QUAILS
WRECK OF SEABIRDS
SHIVER OF SHARKS
BANK OF SWANS
VENUE OF VULTURES
DAZZLE OF ZEBRAS
CAT: FORTUNE 500
DIFF: EASY
EBAY INC.
GENERAL MILLS
MCDONALDS CORPORATION
ORACLE CORPORATION
GOLDMAN SACHS
MICROSOFT INC.
HOME DEPOT
BOEING
PROCTER AND GAMBLE
CITIGROUP
INTERNATIONAL BUSINESS MACHINES
JPMORGAN CHASE
GENERAL ELECTRIC
FORD MOTOR
GENERAL MOTORS
APPLE INC.
PEPSICO
GOOGLE INC.
UNITED PARCEL SERVICE
INTEL CORPORATION
THE COCA-COLA COMPANY
PRUDENTIAL FINANCIAL
STARBUCKS CORPORATION
MARRIOTT INTERNATIONAL
TOYS 'R' US INC.
VISA INC.
HILTON WORLDWIDE HOLDINGS
MOTOROLA SOLUTIONS
CAMPBELL SOUP CO.
MASTERCARD INC.
FACEBOOK INC.
COCA-COLA ENTERPRISES
THE HERSHEY COMPANY
BARNES AND NOBLE INC.
SANDISK CORPORATION
LEVI STRAUSS AND CO.
DIFF: MEDIUM
MATTEL INC.
THE BLACKSTONE GROUP
SYMANTEC CORPORATION
AVIS BUDGET GROUP
FRANKLIN RESOURCES
NEWMONT MINING
YUM BRANDS
SMITHFIELD FOODS
LAS VEGAS SANDS CORP.
ARAMARK HOLDINGS
VIACOM INC.
KELLOGG
MONSANTO
FEDERAL EXPRESS
WALT DISNEY
LOCKHEED MARTIN
CISCO SYSTEMS
CATERPILLAR
CONOCOPHILLIPS
DOW CHEMICAL
JOHNSON AND JOHNSON
TARGET
AMAZON
ARCHER DANIELS MIDLAND
WELLS FARGO
COSTCO WHOLESALE
HEWLETT-PACKARD
WAL-MART
EXXON MOBIL
CHEVRON
VERIZON COMMUNICATIONS
SAFEWAY INC.
HONEYWELL INTERNATIONAL
DELTA AIR LINES
TWENTY-FIRST CENTURY FOX 
SEARS HOLDINGS
TYSON FOODS
TIME WARNER INC.
HALLIBURTON
MACY'S INC.
NIKE INC.
EXELON CORPORATION
EMERSON ELECTRIC
RAYTHEON
ALCOA INC.
ABBOTT LABORATORIES
FREEPORT-MCMORAN COPPER AND GOLD
KIMBERLY-CLARK
ICAHN ENTERPRISES
GOODYEAR TIRE AND RUBBER
KRAFT FOODS
SOUTHWEST AIRLINES
CHESAPEAKE ENERGY
COLGATE-PALMOLIVE CO.
MEDTRONIC INC.
LEAR CORPORATION
APACHE CORPORATION
MARATHON OIL
TEXAS INSTRUMENTS
GILEAD SCIENCES
STANLEY BLACK AND DECKER
BED BATH AND BEYOND
BLACKROCK INC.
ESTEE LAUDER
MICRON TECHNOLOGY
AUTOZONE INC.
GAMESTOP CORP.
OAKTREE CAPITAL GROUP
APPLIED MATERIALS INC.
CBRE GROUP INC.
QUEST DIAGNOSTICS INC.
DR PEPPER SNAPPLE GROUP
HARLEY-DAVIDSON INC.
BOOZ ALLEN HAMILTON HOLDING CORP.
WESTERN UNION
JETBLUE AIRWAYS
ADVANCED MICRO DEVICES INC.
COACH INC.
EXPEDIA INC.
YAHOO INC.
JUNIPER NETWORKS INC.
DIFF: HARD
AVAYA INC.
WYNN RESORTS LIMITED
THE CLOROX CO.
ANXITER INTERNATIONAL
TEREX CORPORATION
JARDEN CORPORATION
OSHKOSH CORPORATION
COGNIZANT TECHNOLOGY SOLUTIONS
STRYKER CORPORATION
SYNNEX CORPORATION
XCEL ENERGY INC.
HEINZ CO.
PRAXAIR INC.
BAXTER INTERNATIONAL
NEXTERA ENERGY
BRISTOL-MYERS SQUIBB CO.
JABIL CIRCUIT INC.
KOHL'S CORPORATION
ABBVIE INC.
XEROX CORPORATION
QUALCOMM
THE TJX COMPANIES
MERCK AND CO.
KROGER
PFIZER
CAT: VIDEO GAMES
DIFF: EASY
STARCRAFT
LEFT FOUR DEAD
ANGRY BIRDS
ASSASSIN'S CREED
BATTLEFIELD
BORDERLANDS
CALL OF DUTY
DEAD RISING
GRAND THEFT AUTO
COUNTER STRIKE
LEAGUE OF LEGENDS
MARIO KART
MEGA MAN
NEED FOR SPEED
SUPER MARIO BROTHERS
PLANTS VS ZOMBIES
SUPER SMASH BROTHERS
STREET FIGHTER
TEAM FORTRESS
THE LEGEND OF ZELDA
THE SIMS
WORLD OF WARCRAFT
DIABLO
MINECRAFT
POKEMON SERIES
PAC-MAN
SPACE INVADERS
ASTERIODS
MORTAL KOMBAT
FINAL FANTASY SERIES
TOMB RAIDER
GUILD WARS
FRUIT NINJA
CANDY CRUSH
SUPER BOMBERMAN
DIG DUG
DIFF: MEDIUM
BAND HERO
GUITAR HERO
MONSTER HUNTER
MOTORSTORM
HEAVY RAIN
GOD OF WAR
LITTLEBIGPLANET
THE LAST OF US
GRAN TURISMO
CRASH BANDICOOT
TEKKEN
DRAGON QUEST
BRAIN AGE
MARIO PARTY
DEAD OR ALIVE
MADDEN NFL
PROJECT GOTHAM RACING
PITFALL!
NINTENDOGS
KINECT ADVENTURES
'SPLOSION MAN
TINY WINGS
TETRIS
SUPER STARDUST
RED DEAD REDEMPTION
PORTAL
PEGGLE
MIRROR'S EDGE
METROID
MASS EFFECT
LIMBO
INFAMOUS
HALO
HALF-LIFE
GEOMERTRY WARS
GEARS OF WAR
FAR CRY
FORZA MOTORSPORT
FALLOUT
FABLE
SKYRIM
DEAD SPACE
CUT THE ROPE
CRYSIS
CASTLEVANIA
CASTLE CRASHERS
BURNOUT PARADISE
BIOSHOCK
SHATTER
CIVILIZATION
RAINBOW SIX: VEGAS
SPLINTER CELL
UNCHARTED
WII SPORTS RESORT
WORLD OF GOO
RESIDENT EVIL
GARRY'S MOD
SOUL CALIBUR
DEUS EX
DIFF: HARD
MYST
DAXTER
BANJO-KAZOOIE
BANJO-TOOIE
VALKYRIA CHRONICLES
VIVA PINATA
KILLZONE
SHADOW COMPLEX
KIRBY'S EPIC YAM
CAT: MUSICAL INSTRUMENTS
DIFF: EASY
VIOLIN
PIANO
HARMONICA
BASS DRUM
BONGOS
TRIANGLE
